Date,000001.SS,Bovespa (Brazil),FTSE 100 (UK),S&P 500 (USA),Nikkei 225 (Japan),NIFTY 50 (India)
2000-01-03,1406.3709716796875,16930.0,6665.89990234375,1455.219970703125,19002.859375,4494.64990234375
2000-01-04,1406.3709716796875,15851.0,6665.89990234375,1399.4200439453125,19002.859375,4494.64990234375
2000-01-05,1409.6820068359375,16245.0,6535.89990234375,1402.1099853515625,18542.55078125,4494.64990234375
2000-01-06,1463.9420166015625,16107.0,6447.2001953125,1403.449951171875,18168.26953125,4494.64990234375
2000-01-07,1516.60400390625,16309.0,6504.7998046875,1441.469970703125,18193.41015625,4494.64990234375
2000-01-10,1545.112060546875,17022.0,6607.7001953125,1457.5999755859375,18193.41015625,4494.64990234375
2000-01-11,1479.781005859375,16573.0,6518.89990234375,1438.56005859375,18850.919921875,4494.64990234375
2000-01-12,1438.02001953125,16617.0,6532.7998046875,1432.25,18677.419921875,4494.64990234375
2000-01-13,1424.4420166015625,17298.0,6531.5,1449.6800537109375,18833.2890625,4494.64990234375
2000-01-14,1408.8480224609375,17658.0,6658.2001953125,1465.1500244140625,18956.55078125,4494.64990234375
2000-01-17,1433.3299560546875,18053.0,6669.5,1465.1500244140625,19437.23046875,4494.64990234375
2000-01-18,1426.623046875,17903.0,6504.60009765625,1455.1400146484375,19196.5703125,4494.64990234375
2000-01-19,1440.7239990234375,17470.0,6445.5,1455.9000244140625,18897.75,4494.64990234375
2000-01-20,1466.863037109375,17177.0,6348.7001953125,1445.5699462890625,19008.009765625,4494.64990234375
2000-01-21,1465.0849609375,17034.0,6346.2998046875,1441.3599853515625,18878.08984375,4494.64990234375
2000-01-24,1477.343994140625,16972.0,6379.7998046875,1401.530029296875,19056.7109375,4494.64990234375
2000-01-25,1476.5059814453125,16972.0,6274.10009765625,1410.030029296875,18895.529296875,4494.64990234375
2000-01-26,1481.116943359375,17105.0,6375.60009765625,1404.0899658203125,19111.189453125,4494.64990234375
2000-01-27,1506.7669677734375,17081.0,6441.0,1398.56005859375,19209.720703125,4494.64990234375
2000-01-28,1534.9969482421875,16734.0,6375.60009765625,1360.1600341796875,19434.779296875,4494.64990234375
2000-01-31,1534.9969482421875,16388.0,6268.5,1394.4599609375,19539.69921875,4494.64990234375
2000-02-01,1534.9969482421875,16522.0,6290.89990234375,1409.280029296875,19423.380859375,4494.64990234375
2000-02-02,1534.9969482421875,16868.0,6302.7998046875,1409.1199951171875,19578.91015625,4494.64990234375
2000-02-03,1534.9969482421875,17457.0,6324.2998046875,1424.969970703125,19786.419921875,4494.64990234375
2000-02-04,1534.9969482421875,17932.0,6185.0,1424.3699951171875,19763.130859375,4494.64990234375
2000-02-07,1534.9969482421875,18126.0,6118.60009765625,1424.239990234375,19945.4296875,4494.64990234375
2000-02-08,1534.9969482421875,18686.0,6285.7998046875,1441.719970703125,19868.880859375,4494.64990234375
2000-02-09,1534.9969482421875,18361.0,6315.39990234375,1411.7099609375,20007.76953125,4494.64990234375
2000-02-10,1534.9969482421875,18604.0,6279.7998046875,1416.8299560546875,19710.01953125,4494.64990234375
2000-02-11,1534.9969482421875,18083.0,6193.2998046875,1387.1199951171875,19710.01953125,4494.64990234375
2000-02-14,1673.9429931640625,17819.0,6068.60009765625,1389.93994140625,19556.4609375,4494.64990234375
2000-02-15,1670.6700439453125,17921.0,6005.2001953125,1402.050048828125,19367.830078125,4494.64990234375
2000-02-16,1693.1090087890625,18112.0,6147.39990234375,1387.6700439453125,19599.1796875,4494.64990234375
2000-02-17,1640.6490478515625,17979.0,6209.2998046875,1388.260009765625,19791.400390625,4494.64990234375
2000-02-18,1668.0909423828125,17625.0,6165.0,1346.0899658203125,19789.029296875,4494.64990234375
2000-02-21,1677.135986328125,17700.0,6081.60009765625,1346.0899658203125,19543.75,4494.64990234375
2000-02-22,1632.2939453125,17489.0,6014.7001953125,1352.1700439453125,19390.580078125,4494.64990234375
